Class,Subject,Term,Medium,Tamil_Term,English_Term,Needs_Human_Review
Class 6,Maths,Term 2,Tamil,மணி முள்,Hour hand,True
Class 6,Maths,Term 2,Tamil,கடைக்காரர்,Shopkeeper,True
Class 6,Maths,Term 2,Tamil,diagramகக,Tree,False
Class 6,Maths,Term 2,Tamil,ணு,Node,True
Class 6,Maths,Term 2,Tamil,மீச்சிறு ப�ொது மடங்கு,Least Common Multiple,True
Class 6,Maths,Term 2,Tamil,கன அளவு,Volume,True
Class 6,Maths,Term 2,Tamil,மீப்பெ ரு ப�ொது காரணி,Highest Common Factor,True
Class 6,Maths,Term 2,Tamil,காரணி,Factor,True
Class 6,Maths,Term 2,Tamil,முக்ககோணச் சமனின்மை,Triangle Inequality,True
Class 6,Maths,Term 2,Tamil,காலங்காட்டிகளை பற்றிய படிப்பு,Horology,False
Class 6,Maths,Term 2,Tamil,முக்ககோணமானி /,Set square,True
Class 6,Maths,Term 2,Tamil,கிளைககள்,Branches,True
Class 6,Maths,Term 2,Tamil,முக்ககோணம்,Triangle,True
Class 6,Maths,Term 2,Tamil,கீழின அலகுககள்,Lower units,True
Class 6,Maths,Term 2,Tamil,முககவர்,Dealer,True
Class 6,Maths,Term 2,Tamil,கீழ் பாககம்,Bottom,True
Class 6,Maths,Term 2,Tamil,முழம்,Cubit,True
Class 6,Maths,Term 2,Tamil,குவார்ட்ஸ் ககடிகாரம்,Quartz clock,True
Class 6,Maths,Term 2,Tamil,முற்பகல்,Ante meridiam,True
Class 6,Maths,Term 2,Tamil,குறித்த விலை,Marked price,True
Class 6,Maths,Term 2,Tamil,மூன்றன் த�ொகுதி,Triplet,True
Class 6,Maths,Term 2,Tamil,குறுங்ககோண முக்ககோணம்,Acute angled triangle,True
Class 6,Maths,Term 2,Tamil,மெட்ரிக் அளவைககள்,Metric units,True
Class 6,Maths,Term 2,Tamil,க�ொள்ளள்ளளவு,Capacity,True
Class 6,Maths,Term 2,Tamil,மெழுகுவர்த்தி ககடிகாரம்,Candle clock,True
Class 6,Maths,Term 2,Tamil,க�ோட்டுத்துண்டு,Line segment,True
Class 6,Maths,Term 2,Tamil,மேலின அலகுககள்,Higher units,True
